============================================================
  Generated by:           Encounter(R) RTL Compiler v08.10-s222_1
  Generated on:           Feb 03 2018  12:14:45 AM
  Module:                 picorv32
  Technology library:     NangateOpenCellLibrary revision 1.0
  Operating conditions:   typical 
  Interconnect mode:      ple
  Area mode:              physical library
============================================================

                                       Leakage   Dynamic    Total   
             Design                   Power(uW) Power(uW) Power(uW) 
--------------------------------------------------------------------
picorv32                                220.891  4174.099  4394.990 
                                                                    
                                       Leakage   Dynamic    Total   
              File                Row Power(uW) Power(uW) Power(uW) 
--------------------------------------------------------------------
../Test_Arch/picorv32/picorv32.v 1042     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1043     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1045     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1046     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1047     0.016     0.000     0.016 
../Test_Arch/picorv32/picorv32.v 1049     0.016     0.002     0.018 
../Test_Arch/picorv32/picorv32.v 1050     0.016     0.001     0.018 
../Test_Arch/picorv32/picorv32.v 1051     0.040     0.024     0.064 
../Test_Arch/picorv32/picorv32.v 1052     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1053     0.132     2.379     2.512 
../Test_Arch/picorv32/picorv32.v 1054     0.016     0.002     0.018 
../Test_Arch/picorv32/picorv32.v 1055     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1056     0.130     2.419     2.548 
../Test_Arch/picorv32/picorv32.v 1057     0.132     2.419     2.551 
../Test_Arch/picorv32/picorv32.v 1058     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1060     0.330     0.122     0.453 
../Test_Arch/picorv32/picorv32.v 1061     0.617     6.113     6.730 
../Test_Arch/picorv32/picorv32.v 1062     0.330     0.124     0.454 
../Test_Arch/picorv32/picorv32.v 1063     0.337     0.125     0.462 
../Test_Arch/picorv32/picorv32.v 1064     0.330     0.121     0.452 
../Test_Arch/picorv32/picorv32.v 1065     0.330     0.122     0.453 
../Test_Arch/picorv32/picorv32.v 1075     0.017     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1076     0.008     0.000     0.009 
../Test_Arch/picorv32/picorv32.v 1077     0.008     0.000     0.009 
../Test_Arch/picorv32/picorv32.v 1078     0.096     1.261     1.357 
../Test_Arch/picorv32/picorv32.v 1081     0.031     0.000     0.031 
../Test_Arch/picorv32/picorv32.v 1085     0.066     1.252     1.317 
../Test_Arch/picorv32/picorv32.v 1090     0.017     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1091     0.008     0.000     0.009 
../Test_Arch/picorv32/picorv32.v 1092     0.008     0.000     0.009 
../Test_Arch/picorv32/picorv32.v 1093     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1100     1.360     4.025     5.385 
../Test_Arch/picorv32/picorv32.v 1103     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1105     0.008     0.135     0.144 
../Test_Arch/picorv32/picorv32.v 1116     0.367     0.543     0.910 
../Test_Arch/picorv32/picorv32.v 1191     2.060    48.619    50.678 
../Test_Arch/picorv32/picorv32.v 1218     4.697    52.942    57.638 
../Test_Arch/picorv32/picorv32.v 1219     0.509     4.106     4.614 
../Test_Arch/picorv32/picorv32.v 1220     0.885     7.783     8.668 
../Test_Arch/picorv32/picorv32.v 1221     0.885     7.485     8.371 
../Test_Arch/picorv32/picorv32.v 1230     0.342     6.941     7.283 
../Test_Arch/picorv32/picorv32.v 1234     0.003     0.012     0.014 
../Test_Arch/picorv32/picorv32.v 1236     0.003     0.041     0.044 
../Test_Arch/picorv32/picorv32.v 1238     0.003     0.028     0.031 
../Test_Arch/picorv32/picorv32.v 1247     1.062     4.969     6.031 
../Test_Arch/picorv32/picorv32.v 1252     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1253     0.355     3.765     4.120 
../Test_Arch/picorv32/picorv32.v 1254     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1255     0.216     1.063     1.279 
../Test_Arch/picorv32/picorv32.v 1256     0.007     0.064     0.070 
../Test_Arch/picorv32/picorv32.v 1257     0.263     2.031     2.295 
../Test_Arch/picorv32/picorv32.v 1271     0.050     1.155     1.205 
../Test_Arch/picorv32/picorv32.v 1275     0.018     0.000     0.018 
../Test_Arch/picorv32/picorv32.v 1277     0.037     0.125     0.162 
../Test_Arch/picorv32/picorv32.v 1291     0.505    26.986    27.490 
../Test_Arch/picorv32/picorv32.v 1293     0.494     6.844     7.337 
../Test_Arch/picorv32/picorv32.v 1295     2.087    16.935    19.023 
../Test_Arch/picorv32/picorv32.v 1298     0.011     1.638     1.649 
../Test_Arch/picorv32/picorv32.v 1299     0.489     7.388     7.877 
../Test_Arch/picorv32/picorv32.v 1315    51.507  1170.080  1221.587 
../Test_Arch/picorv32/picorv32.v 1316     0.305     1.461     1.766 
../Test_Arch/picorv32/picorv32.v 1317     0.294     0.846     1.140 
../Test_Arch/picorv32/picorv32.v 1324    17.548     1.164    18.711 
../Test_Arch/picorv32/picorv32.v 1325    17.548     0.963    18.510 
../Test_Arch/picorv32/picorv32.v 1372     0.095     5.789     5.884 
../Test_Arch/picorv32/picorv32.v 1374    21.599   606.925   628.524 
../Test_Arch/picorv32/picorv32.v 1405     3.172    20.891    24.063 
../Test_Arch/picorv32/picorv32.v 1424     0.008     1.712     1.720 
../Test_Arch/picorv32/picorv32.v 1435     2.890    28.437    31.327 
../Test_Arch/picorv32/picorv32.v 1464     2.925     8.655    11.580 
../Test_Arch/picorv32/picorv32.v 1470     0.014     0.012     0.026 
../Test_Arch/picorv32/picorv32.v 1476     0.465    11.547    12.011 
../Test_Arch/picorv32/picorv32.v 1478     1.471    19.975    21.446 
../Test_Arch/picorv32/picorv32.v 1481     0.003     0.000     0.003 
../Test_Arch/picorv32/picorv32.v 1535     0.528     5.294     5.822 
../Test_Arch/picorv32/picorv32.v 1538     2.087    17.067    19.154 
../Test_Arch/picorv32/picorv32.v 1542     2.193     1.647     3.840 
../Test_Arch/picorv32/picorv32.v 1545     0.523     3.849     4.371 
../Test_Arch/picorv32/picorv32.v 1547     2.057    23.946    26.003 
../Test_Arch/picorv32/picorv32.v 1551     0.014     0.000     0.014 
../Test_Arch/picorv32/picorv32.v 1562     2.140     4.880     7.021 
../Test_Arch/picorv32/picorv32.v 1606     0.983     5.554     6.536 
../Test_Arch/picorv32/picorv32.v 1620     0.489     3.015     3.505 
../Test_Arch/picorv32/picorv32.v 1674     0.011     0.005     0.016 
../Test_Arch/picorv32/picorv32.v 1714     0.177     2.302     2.479 
../Test_Arch/picorv32/picorv32.v 1745     0.177     2.302     2.479 
../Test_Arch/picorv32/picorv32.v 1784     2.057    15.567    17.624 
../Test_Arch/picorv32/picorv32.v 1789     0.079     0.089     0.168 
../Test_Arch/picorv32/picorv32.v 1795     0.031     0.065     0.095 
../Test_Arch/picorv32/picorv32.v 1809     0.583     9.872    10.456 
../Test_Arch/picorv32/picorv32.v 1813     0.641     5.601     6.243 
../Test_Arch/picorv32/picorv32.v 1815     0.555     0.949     1.504 
../Test_Arch/picorv32/picorv32.v 1816     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1817     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1818     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1820     0.154     2.012     2.166 
../Test_Arch/picorv32/picorv32.v 1823     0.555     1.016     1.571 
../Test_Arch/picorv32/picorv32.v 1824     0.010     0.023     0.033 
../Test_Arch/picorv32/picorv32.v 1825     0.010     0.023     0.033 
../Test_Arch/picorv32/picorv32.v 1826     0.010     0.023     0.033 
../Test_Arch/picorv32/picorv32.v 1828     0.107     1.882     1.989 
../Test_Arch/picorv32/picorv32.v 1835     0.069     1.072     1.141 
../Test_Arch/picorv32/picorv32.v 1836     0.018     0.068     0.086 
../Test_Arch/picorv32/picorv32.v 1838     0.187     3.344     3.531 
../Test_Arch/picorv32/picorv32.v 1847     2.057    17.137    19.194 
../Test_Arch/picorv32/picorv32.v 1850     0.042     0.907     0.949 
../Test_Arch/picorv32/picorv32.v 1860     0.559     5.335     5.893 
../Test_Arch/picorv32/picorv32.v 1861     0.018     0.000     0.018 
../Test_Arch/picorv32/picorv32.v 1863     0.100     1.130     1.230 
../Test_Arch/picorv32/picorv32.v 1864     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1865     0.007     0.000     0.007 
../Test_Arch/picorv32/picorv32.v 1878     0.531     4.762     5.293 
../Test_Arch/picorv32/picorv32.v 1880     0.555     5.639     6.194 
../Test_Arch/picorv32/picorv32.v 1893     0.148     1.222     1.370 
../Test_Arch/picorv32/picorv32.v 1894     0.160     1.419     1.579 
../Test_Arch/picorv32/picorv32.v 1901     0.253     5.510     5.763 
../Test_Arch/picorv32/picorv32.v 1909     0.131     1.320     1.451 
../Test_Arch/picorv32/picorv32.v 1920     0.040    13.354    13.394 
../Test_Arch/picorv32/picorv32.v 1927     0.026     0.160     0.186 
../Test_Arch/picorv32/picorv32.v 1929     0.026     0.098     0.124 
../Test_Arch/picorv32/picorv32.v 1931     0.026     0.092     0.118 
