Vesta static timing analysis, pin-to-register and register-to-pin maximum timing

Top 20 maximum delay paths:
Path input pin INTERRUPT_flag to DFFPOSX1_50/D delay 4460.04 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
   1311.3 ps         ULA_B_0_bF_buf4:   BUFX4_251/Y ->  NOR2X1_301/B
   1389.4 ps                  _3090_:  NOR2X1_301/Y -> AOI21X1_390/C
   1512.2 ps                  _3091_: AOI21X1_390/Y -> AOI21X1_391/A
   1665.2 ps                  _3099_: AOI21X1_391/Y -> OAI21X1_741/A
   1820.8 ps                  _3108_: OAI21X1_741/Y -> AOI21X1_392/B
   1968.4 ps                  _3113_: AOI21X1_392/Y -> OAI21X1_742/A
   2122.6 ps                  _3119_: OAI21X1_742/Y -> AOI21X1_393/B
   2270.2 ps                  _3124_: AOI21X1_393/Y -> OAI21X1_743/A
   2424.3 ps                  _3039_: OAI21X1_743/Y -> AOI21X1_394/B
   2571.9 ps                  _3044_: AOI21X1_394/Y -> OAI21X1_744/A
   2726.1 ps                  _3051_: OAI21X1_744/Y ->   XOR2X1_12/A
   2843.6 ps           ULA_OUT_0__9_:   XOR2X1_12/Y ->  OAI22X1_68/A
   2954.1 ps                  _2863_:  OAI22X1_68/Y ->   INVX1_233/A
   3009.5 ps          ULA_ULA_OUT_9_:   INVX1_233/Y -> DFFPOSX1_24/D

Path input pin INTERRUPT_flag to DFFPOSX1_23/D delay 2854.75 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
    180.5 ps  INTERRUPT_flag_bF_buf8:   BUFX4_279/Y -> NAND2X1_127/A
    282.7 ps                  _2306_: NAND2X1_127/Y -> OAI21X1_200/C
    385.1 ps                  _2307_: OAI21X1_200/Y -> NAND3X1_434/B
    482.8 ps                  _1971_: NAND3X1_434/Y -> OAI21X1_568/C
    552.1 ps                  _1972_: OAI21X1_568/Y ->  NOR2X1_204/B
    619.2 ps                  _1976_:  NOR2X1_204/Y -> NAND3X1_437/B
    709.0 ps                REG_B_0_: NAND3X1_437/Y ->    MUX2X1_1/B
    816.8 ps                    _32_:    MUX2X1_1/Y ->  OAI21X1_18/A
   1074.6 ps                ULA_B_0_:  OAI21X1_18/Y ->   BUFX4_251/A
   1311.3 ps         ULA_B_0_bF_buf4:   BUFX4_251/Y ->  NOR2X1_301/B
   1389.4 ps                  _3090_:  NOR2X1_301/Y -> AOI21X1_390/C
   1512.2 ps                  _3091_: AOI21X1_390/Y -> AOI21X1_391/A
   1665.2 ps                  _3099_: AOI21X1_391/Y -> OAI21X1_741/A
   1820.8 ps                  _3108_: OAI21X1_741/Y -> AOI21X1_392/B
   1968.4 ps                  _3113_: AOI21X1_392/Y -> OAI21X1_742/A
   2122.6 ps                  _3119_: OAI21X1_742/Y -> AOI21X1_393/B
   2270.2 ps                  _3124_: AOI21X1_393/Y -> OAI21X1_743/A
   2424.3 ps                  _3039_: OAI21X1_743/Y -> AOI21X1_394/B
   2571.9 ps                  _3044_: AOI21X1_394/Y ->  XNOR2X1_22/A
   2687.9 ps           ULA_OUT_0__8_:  XNOR2X1_22/Y ->  OAI22X1_67/A
   2799.2 ps                  _2843_:  OAI22X1_67/Y ->   INVX1_231/A
   2854.7 ps          ULA_ULA_OUT_8_:   INVX1_231/Y -> DFFPOSX1_23/D

Path input pin INTERRUPT_flag to DFFPOSX1_22/D delay 2690.81 ps
      0.0 ps          INTERRUPT_flag:               ->   BUFX4_279/A
    180.5 ps  INTERRUPT_flag_bF_buf8:   BUFX4_279/Y -> NAND2X1_127/A
    282.7 ps                  _2306_: NAND2X1_127/Y -> OAI21X1_200/C
    385.1 ps                  _2307_: OAI21X1_200/Y -> NAND3X1_434/B
    482.8 ps                  _1971_: NAND3X1_434/Y -> OAI21X1_568/C
    552.1 ps                  _1972_: OAI21X1_568/Y ->  NOR2X1_204/B
    619.2 ps                  _1976_:  NOR2X1_204/Y -> NAND3X1_437/B
    709.0 ps                REG_B_0_: NAND3X1_437/Y ->    MUX2X1_1/B
    816.8 ps                    _32_:    MUX2X1_1/Y ->  OAI21X1_18/A
   1074.6 ps                ULA_B_0_:  OAI21X1_18/Y ->   BUFX4_251/A
   1311.3 ps         ULA_B_0_bF_buf4:   BUFX4_251/Y ->  NOR2X1_301/B
   1389.4 ps                  _3090_:  NOR2X1_301/Y -> AOI21X1_390/C
   1512.2 ps                  _3091_: AOI21X1_390/Y -> AOI21X1_391/A
   1665.2 ps                  _3099_: AOI21X1_391/Y -> OAI21X1_741/A
   1820.8 ps                  _3108_: OAI21X1_741/Y -> AOI21X1_392/B
   1968.4 ps                  _3113_: AOI21X1_392/Y -> OAI21X1_742/A
   2122.6 ps                  _3119_: OAI21X1_742/Y -> AOI21X1_393/B
   2270.2 ps                  _3124_: AOI21X1_393/Y -> OAI21X1_743/A
   2424.3 ps                  _3039_: OAI21X1_743/Y ->   XOR2X1_11/A
   2536.7 ps           ULA_OUT_0__7_:   XOR2X1_11/Y ->  NOR2X1_277/A
   2605.8 ps                  _2789_:  NOR2X1_277/Y -> AOI21X1_370/C
   2690.8 ps          ULA_ULA_OUT_7_: AOI21X1_370/Y -> DFFPOSX1_22/D

Path input pin INTERRUPT_flag to DFFPOSX1_117/D delay 2595.49 ps
      0.0 ps          INTERRUPT_flag:               ->    BUFX4_286/A
    187.4 ps  INTERRUPT_flag_bF_buf1:   BUFX4_286/Y ->    NOR2X1_61/B
    367.0 ps                   _360_:   NOR2X1_61/Y ->   NAND2X1_68/B
    495.4 ps                   _365_:  NAND2X1_68/Y ->   NAND3X1_20/B
    656.5 ps                   _380_:  NAND3X1_20/Y ->   OAI21X1_93/C
   1012.6 ps                   _384_:  OAI21X1_93/Y ->   AOI21X1_68/C
   1401.2 ps                   _398_:  AOI21X1_68/Y ->   NAND2X1_84/B
   1531.7 ps                   _483_:  NAND2X1_84/Y ->  OAI21X1_111/C
   1611.2 ps                   _484_: OAI21X1_111/Y ->    NOR2X1_77/B
   1792.1 ps                   _485_:   NOR2X1_77/Y ->     INVX1_66/A
   1888.1 ps                   _498_:    INVX1_66/Y ->   NAND3X1_22/A
   2070.9 ps                   _507_:  NAND3X1_22/Y ->  OAI21X1_131/A
   2260.2 ps                   _548_: OAI21X1_131/Y ->   NAND3X1_24/C
   2367.3 ps                   _618_:  NAND3X1_24/Y ->  NAND2X1_100/B
   2442.0 ps                   _619_: NAND2X1_100/Y ->   AOI21X1_96/B
   2521.6 ps                   _623_:  AOI21X1_96/Y ->  OAI21X1_151/A
   2595.5 ps                _327__7_: OAI21X1_151/Y -> DFFPOSX1_117/D

Path input pin INTERRUPT_flag to DFFPOSX1_101/D delay 2595.49 ps
      0.0 ps          INTERRUPT_flag:               ->    BUFX4_286/A
    187.4 ps  INTERRUPT_flag_bF_buf1:   BUFX4_286/Y ->    NOR2X1_61/B
    367.0 ps                   _360_:   NOR2X1_61/Y ->   NAND2X1_68/B
    495.4 ps                   _365_:  NAND2X1_68/Y ->   NAND3X1_20/B
    656.5 ps                   _380_:  NAND3X1_20/Y ->   OAI21X1_93/C
   1012.6 ps                   _384_:  OAI21X1_93/Y ->   AOI21X1_68/C
   1401.2 ps                   _398_:  AOI21X1_68/Y ->   NAND2X1_84/B
   1531.7 ps                   _483_:  NAND2X1_84/Y ->  OAI21X1_111/C
   1611.2 ps                   _484_: OAI21X1_111/Y ->    NOR2X1_77/B
   1792.1 ps                   _485_:   NOR2X1_77/Y ->     INVX1_66/A
   1888.1 ps                   _498_:    INVX1_66/Y ->   NAND3X1_22/A
   2070.9 ps                   _507_:  NAND3X1_22/Y ->  OAI21X1_131/A
   2260.2 ps                   _548_: OAI21X1_131/Y ->   NAND3X1_26/C
   2367.3 ps                   _730_:  NAND3X1_26/Y ->  NAND2X1_114/B
   2442.0 ps                   _731_: NAND2X1_114/Y ->  AOI21X1_115/B
   2521.6 ps                   _736_: AOI21X1_115/Y ->  OAI21X1_195/A
   2595.5 ps                _325__7_: OAI21X1_195/Y -> DFFPOSX1_101/D

Path input pin INTERRUPT_flag to DFFPOSX1_109/D delay 2595.49 ps
      0.0 ps          INTERRUPT_flag:               ->    BUFX4_286/A
    187.4 ps  INTERRUPT_flag_bF_buf1:   BUFX4_286/Y ->    NOR2X1_61/B
    367.0 ps                   _360_:   NOR2X1_61/Y ->   NAND2X1_68/B
    495.4 ps                   _365_:  NAND2X1_68/Y ->   NAND3X1_20/B
    656.5 ps                   _380_:  NAND3X1_20/Y ->   OAI21X1_93/C
   1012.6 ps                   _384_:  OAI21X1_93/Y ->   AOI21X1_68/C
   1401.2 ps                   _398_:  AOI21X1_68/Y ->   NAND2X1_84/B
   1531.7 ps                   _483_:  NAND2X1_84/Y ->  OAI21X1_111/C
   1611.2 ps                   _484_: OAI21X1_111/Y ->    NOR2X1_77/B
